 #  Scattering amplitudes (in cm)      MU=(1-cos(TH))/2
 #  Z =   6,   projectile: electron
 #  Kinetic energy = 1.52383E+08 eV
 #
 # TH (deg)      MU          Re(F)        Im(F)        Re(G)        Im(G)
 #--------------------------------------------------------------------------
   2.07147840E+00  3.35803111E-04  1.60928E-11 -4.97227E-12  2.93856E-13 -9.07465E-14
   2.17012087E+00  3.68541795E-04  1.46817E-11 -4.47068E-12  2.80990E-13 -8.55763E-14
   2.26876342E+00  4.02802443E-04  1.34493E-11 -4.03839E-12  2.69112E-13 -8.08191E-14
   2.36740607E+00  4.38584951E-04  1.23659E-11 -3.66279E-12  2.58100E-13 -7.64205E-14
   2.46604882E+00  4.75889209E-04  1.14089E-11 -3.33503E-12  2.48182E-13 -7.25805E-14
   2.56469167E+00  5.14715105E-04  1.05590E-11 -3.04728E-12  2.38760E-13 -6.88784E-14
   2.66333462E+00  5.55062519E-04  9.80089E-12 -2.79340E-12  2.30234E-13 -6.56361E-14
   2.76197769E+00  5.96931329E-04  9.12193E-12 -2.56855E-12  2.22182E-13 -6.25576E-14
   2.86062086E+00  6.40321408E-04  8.51115E-12 -2.36832E-12  2.14709E-13 -5.97400E-14
   2.95926416E+00  6.85232623E-04  7.96002E-12 -2.18956E-12  2.07768E-13 -5.71620E-14
   3.05790757E+00  7.31664837E-04  7.46078E-12 -2.02920E-12  2.01182E-13 -5.47052E-14
   3.15655111E+00  7.79617909E-04  7.00721E-12 -1.88494E-12  1.95098E-13 -5.24923E-14
   3.25519479E+00  8.29091693E-04  6.59391E-12 -1.75474E-12  1.89296E-13 -5.03679E-14
   3.35383859E+00  8.80086038E-04  6.21615E-12 -1.63681E-12  1.83879E-13 -4.84200E-14
   3.45248253E+00  9.32600789E-04  5.87009E-12 -1.52979E-12  1.78754E-13 -4.65873E-14
   3.55112662E+00  9.86635786E-04  5.55214E-12 -1.43231E-12  1.73890E-13 -4.48542E-14
   3.64977085E+00  1.04219086E-03  5.25944E-12 -1.34337E-12  1.69324E-13 -4.32549E-14
   3.74841523E+00  1.09926585E-03  4.98932E-12 -1.26199E-12  1.64950E-13 -4.17169E-14
   3.84705976E+00  1.15786058E-03  4.73953E-12 -1.18734E-12  1.60835E-13 -4.02954E-14
   3.94570445E+00  1.21797487E-03  4.50810E-12 -1.11877E-12  1.56899E-13 -3.89367E-14
   4.04434931E+00  1.27960853E-03  4.29321E-12 -1.05559E-12  1.53158E-13 -3.76565E-14
   4.14299433E+00  1.34276139E-03  4.09340E-12 -9.97328E-13  1.49602E-13 -3.64523E-14
   4.24163952E+00  1.40743324E-03  3.90722E-12 -9.43451E-13  1.46190E-13 -3.52964E-14
   4.34028489E+00  1.47362389E-03  3.73349E-12 -8.93562E-13  1.42953E-13 -3.42167E-14
   4.43893043E+00  1.54133313E-03  3.57112E-12 -8.47291E-13  1.39838E-13 -3.31766E-14
   4.53757615E+00  1.61056077E-03  3.41912E-12 -8.04285E-13  1.36868E-13 -3.21963E-14
   4.63622206E+00  1.68130659E-03  3.27666E-12 -7.64282E-13  1.34021E-13 -3.12612E-14
   4.73486817E+00  1.75357038E-03  3.14292E-12 -7.26988E-13  1.31284E-13 -3.03660E-14
