    Radial grid:  A*(R(I)+R0)+B*LOG(R(I)+R0)+C=I

    R0= 1.78012201018E-08  RN= 3.77945225092E-04
     C= 4.98000000000E+02   N=  996

     A= 1.89832748621E+06   B= 2.78525012550E+01  C= 4.98000000000E+02

    I        R(I)         DIFR(I)
   ----------------------------------
   526  1.4446782E-04  4.7821777E-07
   527  1.4494611E-04  4.7836327E-07
   528  1.4542454E-04  4.7850794E-07
   529  1.4590312E-04  4.7865179E-07
   530  1.4638185E-04  4.7879483E-07
   531  1.4686071E-04  4.7893707E-07
   532  1.4733972E-04  4.7907850E-07
   533  1.4781887E-04  4.7921915E-07
   534  1.4829816E-04  4.7935900E-07
   535  1.4877759E-04  4.7949808E-07
   536  1.4925716E-04  4.7963639E-07
   537  1.4973686E-04  4.7977392E-07
   538  1.5021670E-04  4.7991070E-07
   539  1.5069668E-04  4.8004672E-07
   540  1.5117680E-04  4.8018199E-07
   541  1.5165705E-04  4.8031652E-07
   542  1.5213743E-04  4.8045031E-07
   543  1.5261795E-04  4.8058337E-07
   544  1.5309860E-04  4.8071571E-07
   545  1.5357938E-04  4.8084732E-07
   546  1.5406029E-04  4.8097822E-07
   547  1.5454133E-04  4.8110841E-07
   548  1.5502251E-04  4.8123790E-07
   549  1.5550381E-04  4.8136669E-07
   550  1.5598524E-04  4.8149479E-07
   551  1.5646680E-04  4.8162220E-07
   552  1.5694848E-04  4.8174893E-07
   553  1.5743030E-04  4.8187498E-07
   554  1.5791223E-04  4.8200036E-07
   555  1.5839430E-04  4.8212508E-07
   556  1.5887648E-04  4.8224913E-07
   557  1.5935879E-04  4.8237253E-07
   558  1.5984123E-04  4.8249528E-07
   559  1.6032379E-04  4.8261738E-07
   560  1.6080646E-04  4.8273885E-07
   561  1.6128926E-04  4.8285967E-07
   562  1.6177218E-04  4.8297987E-07
   563  1.6225522E-04  4.8309943E-07
   564  1.6273838E-04  4.8321838E-07
   565  1.6322166E-04  4.8333671E-07
   566  1.6370505E-04  4.8345443E-07
   567  1.6418857E-04  4.8357153E-07
   568  1.6467220E-04  4.8368804E-07
   569  1.6515594E-04  4.8380395E-07
   570  1.6563980E-04  4.8391926E-07
   571  1.6612378E-04  4.8403398E-07
   572  1.6660787E-04  4.8414812E-07
   573  1.6709208E-04  4.8426167E-07
   574  1.6757640E-04  4.8437465E-07
   575  1.6806083E-04  4.8448706E-07
   576  1.6854537E-04  4.8459889E-07
   577  1.6903002E-04  4.8471017E-07
   578  1.6951479E-04  4.8482088E-07
   579  1.6999967E-04  4.8493104E-07
   580  1.7048465E-04  4.8504064E-07
   581  1.7096975E-04  4.8514970E-07
   582  1.7145495E-04  4.8525821E-07
   583  1.7194026E-04  4.8536618E-07
   584  1.7242568E-04  4.8547362E-07
   585  1.7291121E-04  4.8558052E-07
   586  1.7339684E-04  4.8568689E-07
   587  1.7388258E-04  4.8579274E-07
   588  1.7436843E-04  4.8589807E-07
   589  1.7485438E-04  4.8600288E-07
   590  1.7534044E-04  4.8610718E-07
   591  1.7582659E-04  4.8621097E-07
   592  1.7631286E-04  4.8631425E-07
   593  1.7679922E-04  4.8641703E-07
   594  1.7728569E-04  4.8651930E-07
   595  1.7777226E-04  4.8662109E-07
   596  1.7825893E-04  4.8672238E-07
   597  1.7874571E-04  4.8682318E-07
   598  1.7923258E-04  4.8692350E-07
   599  1.7971955E-04  4.8702333E-07
   600  1.8020663E-04  4.8712269E-07
   601  1.8069380E-04  4.8722157E-07
   602  1.8118107E-04  4.8731998E-07
   603  1.8166844E-04  4.8741792E-07
   604  1.8215590E-04  4.8751539E-07
   605  1.8264347E-04  4.8761240E-07
   606  1.8313113E-04  4.8770896E-07
   607  1.8361889E-04  4.8780506E-07
   608  1.8410674E-04  4.8790070E-07
   609  1.8459469E-04  4.8799589E-07
   610  1.8508273E-04  4.8809064E-07
   611  1.8557087E-04  4.8818495E-07
   612  1.8605910E-04  4.8827881E-07
   613  1.8654743E-04  4.8837224E-07
   614  1.8703584E-04  4.8846523E-07
   615  1.8752436E-04  4.8855779E-07
   616  1.8801296E-04  4.8864992E-07
   617  1.8850166E-04  4.8874163E-07
   618  1.8899044E-04  4.8883291E-07
   619  1.8947932E-04  4.8892377E-07
   620  1.8996829E-04  4.8901422E-07
   621  1.9045735E-04  4.8910425E-07
   622  1.9094650E-04  4.8919386E-07
   623  1.9143574E-04  4.8928307E-07
   624  1.9192506E-04  4.8937188E-07
   625  1.9241448E-04  4.8946028E-07
   626  1.9290399E-04  4.8954827E-07
   627  1.9339358E-04  4.8963587E-07
   628  1.9388326E-04  4.8972308E-07
   629  1.9437302E-04  4.8980989E-07
   630  1.9486288E-04  4.8989631E-07
